上海电信,#genre#
CCTV16奥林匹克「4K」,http://222.65.141.12:54022/udp/239.45.0.12:5140
CCTV17农业农村「高清」,http://222.65.141.12:54022/udp/239.45.3.52:5140
中国教育1台「高清」,http://222.65.141.12:54022/udp/239.45.1.125:5140
CGTN「标清」,http://222.65.141.12:54022/udp/239.45.1.194:5140
湖南快乐垂钓「高清」,http://222.65.141.12:54022/udp/239.45.3.12:5140
湖南茶频道「高清」,http://222.65.141.12:54022/udp/239.45.3.18:5140
江西陶瓷频道「高清」,http://222.65.141.12:54022/udp/239.45.3.50:5140

东方卫视「高清」,http://58.32.35.23:8001/udp/239.45.3.146:5140
新闻综合「高清」,http://58.32.35.23:8001/udp/239.45.3.209:5140
上海都市「高清」,http://58.32.35.23:8001/udp/239.45.3.236:5140
五星体育「高清」,http://58.32.35.23:8001/udp/239.45.3.210:5140
东方影视「高清」,http://58.32.35.23:8001/udp/239.45.3.237:5140
生活时尚「高清」,http://58.32.35.23:8001/udp/239.45.3.132:5140
纪实人文「高清」,http://58.32.35.23:8001/udp/239.45.3.212:5140
哈哈炫动卡通「高清」,http://58.32.35.23:8001/udp/239.45.1.55:5140
上海教育「标清」,http://58.32.35.23:8001/udp/239.45.3.252:5140
足球频道「高清」,http://58.32.35.23:8001/udp/239.45.3.22:5140
第一财经「高清」,http://58.32.35.23:8001/udp/239.45.3.211:5140
东方财经浦东「标清」,http://58.32.35.23:8001/udp/239.45.1.119:5140
外语频道「高清」,http://58.32.35.23:8001/udp/239.45.1.127:5140
都市剧场「高清」,http://58.32.35.23:8001/udp/239.45.3.136:5140
欢笑剧场「4K」,http://58.32.35.23:8001/udp/239.45.1.4:5140
嘉定电视「普清」,http://58.32.35.23:8001/udp/239.45.3.185:5140
浦东电视「标清」,http://58.32.35.23:8001/udp/239.45.3.248:5140
崇明电视「高清」,http://58.32.35.23:8001/udp/239.45.1.54:5140
健康人生「普清」,http://58.32.35.23:8001/udp/239.45.3.214:5140
极速汽车「高清」,http://58.32.35.23:8001/udp/239.45.3.49:5140
全纪实「高清」,http://58.32.35.23:8001/udp/239.45.3.135:5140
游戏风云「高清」,http://58.32.35.23:8001/udp/239.45.3.131:5140
法治天地「高清」,http://58.32.35.23:8001/udp/239.45.1.46:5140
七彩戏剧「标清」,http://58.32.35.23:8001/udp/239.45.1.112:5140
金色学堂「标清」,http://58.32.35.23:8001/udp/239.45.1.118:5140
金鹰纪实「高清」,http://58.32.35.23:8001/udp/239.45.1.45:5140
金鹰卡通「标清」,http://58.32.35.23:8001/udp/239.45.3.119:5140
动漫秀场「高清」,http://58.32.35.23:8001/udp/239.45.3.134:5140
卡酷少儿「高清」,http://58.32.35.23:8001/udp/239.45.0.8:5140
百事通电影「4K」,http://58.32.35.23:8001/udp/239.45.1.9:5140
百事通动物「4K」,http://58.32.35.23:8001/udp/239.45.1.10:5140
百事通宠物「4K」,http://58.32.35.23:8001/udp/239.45.1.11:5140
百事通纪实「标清」,http://58.32.35.23:8001/udp/239.45.1.103:5140
湖南卫视「高清」,http://58.32.35.23:8001/udp/239.45.3.228:5140
江苏卫视「高清」,http://58.32.35.23:8001/udp/239.45.3.177:5140
浙江卫视「高清」,http://58.32.35.23:8001/udp/239.45.3.178:5140
